timestamp_s,found_lat,found_lon,kf_x_m,kf_y_m,speed_mps,heading_deg,ncc
36061.000000,43.492081,42.518043,2091.478647,-1256.687154,40.00,121.00,0.9609
36062.000000,43.491896,42.518467,2125.765191,-1277.288589,40.00,121.00,0.9606
36063.000000,43.491711,42.518892,2160.051730,-1297.890020,40.00,121.00,0.9607
36064.000000,43.491526,42.519317,2194.338260,-1318.491446,40.00,121.00,0.9602
36065.000000,43.491341,42.519741,2228.624793,-1339.092872,40.00,121.00,0.9606
36066.000000,43.491156,42.520166,2262.911326,-1359.694300,40.00,121.00,0.9601
36067.000000,43.490971,42.520590,2297.197860,-1380.295728,40.00,121.00,0.9594
36068.000000,43.490786,42.521015,2331.484395,-1400.897157,40.00,121.00,0.9591
36069.000000,43.490600,42.521440,2365.770929,-1421.498585,40.00,121.00,0.9591
36070.000000,43.490415,42.521864,2400.057464,-1442.100014,40.00,121.00,0.9603
36071.000000,43.490614,42.522601,2444.331372,-1445.746247,40.24,114.26,0.9587
36072.000000,43.490434,42.523030,2486.479870,-1453.000712,40.60,110.63,0.9606
36073.000000,43.490255,42.523459,2526.426978,-1463.992394,40.77,109.34,0.9642
36074.000000,43.490075,42.523888,2564.250029,-1478.590010,40.71,109.78,0.9649
36075.000000,43.489895,42.524317,2600.540833,-1495.788866,40.53,111.18,0.9666
36076.000000,43.489716,42.524746,2636.050369,-1514.314050,40.36,112.84,0.9646
36077.000000,43.489536,42.525175,2670.720211,-1534.264755,40.20,114.69,0.9658
36078.000000,43.489356,42.525604,2704.988954,-1554.896388,40.10,116.36,0.9662
36079.000000,43.489177,42.526033,2739.061103,-1575.861771,40.04,117.75,0.9667
36080.000000,43.488997,42.526462,2773.098320,-1596.886460,40.02,118.80,0.9670
36081.000000,43.488817,42.526891,2807.189368,-1617.819760,40.00,119.54,0.9672
36082.000000,43.488638,42.527320,2841.376696,-1638.589609,40.00,120.01,0.9670
36083.000000,43.488458,42.527749,2875.659321,-1659.197676,40.00,120.28,0.9674
36084.000000,43.488278,42.528178,2910.041266,-1679.637130,40.00,120.40,0.9677
36085.000000,43.488099,42.528607,2944.511168,-1699.927265,40.00,120.42,0.9678
36086.000000,43.487919,42.529036,2979.049920,-1720.100515,40.00,120.39,0.9674
36087.000000,43.487739,42.529465,3013.642287,-1740.182744,40.00,120.32,0.9682
36088.000000,43.487560,42.529894,3048.269911,-1760.205118,40.00,120.24,0.9686
36089.000000,43.487380,42.530323,3082.918294,-1780.192251,40.00,120.17,0.9689
36090.000000,43.487200,42.530752,3117.578456,-1800.159387,40.00,120.11,0.9693
36091.000000,43.487021,42.531181,3152.241511,-1820.121612,40.00,120.06,0.9693
36092.000000,43.486841,42.531610,3186.903733,-1840.085252,40.00,120.03,0.9692
36093.000000,43.486661,42.532039,3221.560729,-1860.057762,40.00,120.01,0.9665
36094.000000,43.486482,42.532468,3256.214197,-1880.036264,40.00,120.00,0.9628
36095.000000,43.486302,42.532897,3290.867027,-1900.015847,40.00,119.99,0.9648
36096.000000,43.486122,42.533326,3325.516794,-1920.000630,40.00,119.98,0.9668
36097.000000,43.485943,42.533755,3360.163244,-1939.991045,40.00,119.98,0.9622
36098.000000,43.485763,42.534184,3394.807639,-1959.984949,40.00,119.99,0.9604
36099.000000,43.485583,42.534613,3429.450286,-1979.981820,40.00,119.99,0.9601
36100.000000,43.485404,42.535042,3464.091642,-1999.980882,40.00,119.99,0.9601
36101.000000,43.485224,42.535471,3498.732213,-2019.981277,40.00,119.99,0.9599
36102.000000,43.485044,42.535900,3533.372343,-2039.982421,40.00,120.00,0.9598
36103.000000,43.484865,42.536329,3568.012284,-2059.983886,40.00,120.00,0.9598
36104.000000,43.484685,42.536758,3602.652211,-2079.985374,40.00,120.00,0.9597
36105.000000,43.484505,42.537187,3637.292215,-2099.986733,40.00,120.00,0.9597
36106.000000,43.484326,42.537616,3671.932349,-2119.987869,40.00,120.00,0.9595
36107.000000,43.484146,42.538045,3706.572636,-2139.988747,40.00,120.00,0.9590
36108.000000,43.483966,42.538474,3741.213060,-2159.989391,40.00,120.00,0.9591
36109.000000,43.481268,42.537317,3775.853693,-2179.989682,40.00,120.00,0.9413
36110.000000,43.480866,42.538138,3810.494325,-2199.989973,40.00,120.00,0.9505
36111.000000,43.480866,42.538138,3845.134957,-2219.990264,40.00,120.00,0.9543
36112.000000,43.480464,42.538960,3879.775589,-2239.990556,40.00,120.00,0.9581
36113.000000,43.480263,42.539370,3914.416221,-2259.990847,40.00,120.00,0.9585
36114.000000,43.480669,42.540335,3949.056854,-2279.991138,40.00,120.00,0.9527
36115.000000,43.480669,42.540335,3907.289568,-2488.040899,51.81,152.23,0.9539
36116.000000,43.480473,42.540750,3928.063053,-2541.697954,52.64,153.33,0.9533
36117.000000,43.480277,42.541166,3954.498243,-2581.297532,51.68,152.16,0.9523
36118.000000,43.480081,42.541581,3983.599815,-2614.213087,49.88,149.71,0.9513
36119.000000,43.479886,42.541996,4014.594235,-2642.365185,47.76,146.37,0.9493
36120.000000,43.479690,42.542412,4047.313597,-2666.164350,45.64,142.36,0.9484
36121.000000,43.480607,42.544370,4120.933497,-2648.096038,45.07,121.96,0.9444
36122.000000,43.480422,42.544795,4190.512135,-2632.122967,47.63,108.37,0.9447
36123.000000,43.480237,42.545219,4252.849181,-2622.522079,49.87,101.17,0.9441
36124.000000,43.481246,42.547166,4328.801592,-2599.781094,54.76,92.88,0.9163
36125.000000,43.480898,42.548033,4415.564848,-2577.539301,61.28,87.80,0.9212
36126.000000,43.480723,42.548466,4498.125012,-2558.958572,65.63,85.18,0.9266
36127.000000,43.479655,42.548771,4566.763635,-2584.386657,66.01,90.28,0.9346
36128.000000,43.480375,42.549333,4627.633070,-2576.056528,65.06,88.86,0.9351
36129.000000,43.480201,42.549766,4679.632856,-2576.213114,62.62,89.07,0.9339
36130.000000,43.479116,42.550058,4723.615755,-2610.555600,59.37,95.45,0.9271
36131.000000,43.478936,42.550487,4761.710085,-2646.662006,56.31,101.65,0.9271
36132.000000,43.478756,42.550916,4795.501370,-2682.663001,53.59,107.34,0.9271
36133.000000,43.478577,42.551345,4826.489206,-2717.321964,51.24,112.30,0.9271
36134.000000,43.479156,42.552366,4870.662137,-2724.667560,49.88,110.18,0.9246
36135.000000,43.478981,42.552799,4911.489502,-2733.655956,48.34,108.95,0.9257
36136.000000,43.478807,42.553232,4949.814555,-2744.795271,46.79,108.53,0.9251
36137.000000,43.478633,42.553666,4986.164528,-2757.851860,45.31,108.72,0.9250
36138.000000,43.478459,42.554099,5021.050046,-2772.606757,43.94,109.37,0.9250
36139.000000,43.478285,42.554532,5054.805613,-2788.837457,42.74,110.37,0.9259
36140.000000,43.478110,42.554966,5087.895000,-2806.292155,41.73,111.58,0.9269
36141.000000,43.477936,42.555399,5120.959991,-2824.554904,40.96,112.80,0.9251
36142.000000,43.477762,42.555832,5153.794669,-2843.584311,40.37,114.04,0.9258
36143.000000,43.477588,42.556265,5186.698952,-2863.102338,39.95,115.19,0.9255
36144.000000,43.477414,42.556699,5219.753362,-2882.957837,39.67,116.21,0.9252
36145.000000,43.476241,42.556922,5247.798712,-2937.158526,41.90,125.24,0.9253
36146.000000,43.476061,42.557351,5276.896854,-2985.584576,43.87,130.64,0.9255
36147.000000,43.475882,42.557780,5307.049516,-3028.343016,45.17,133.59,0.9257
36148.000000,43.475702,42.558209,5338.196756,-3065.840485,45.77,134.88,0.9259
36149.000000,43.475522,42.558638,5370.229079,-3098.711045,45.79,135.03,0.9261
36150.000000,43.475343,42.559067,5403.020235,-3127.661910,45.41,134.41,0.9262
36151.000000,43.475163,42.559496,5436.438226,-3153.407547,44.78,133.24,0.9262
36152.000000,43.474983,42.559925,5470.357136,-3176.620276,44.04,131.75,0.9263
36153.000000,43.474804,42.560354,5504.662733,-3197.901914,43.28,130.07,0.9263
36154.000000,43.474624,42.560784,5539.257133,-3217.762046,42.56,128.33,0.9264
36155.000000,43.474444,42.561213,5574.051340,-3236.660787,41.93,126.65,0.9265
36156.000000,43.474265,42.561642,5608.973813,-3254.963298,41.40,125.09,0.9265
36157.000000,43.474085,42.562071,5643.969771,-3272.945542,40.97,123.71,0.9265
36158.000000,43.473905,42.562500,5678.996080,-3290.822299,40.63,122.54,0.9265
36159.000000,43.473726,42.562929,5714.021514,-3308.746391,40.37,121.57,0.9265
36160.000000,43.473546,42.563358,5749.025106,-3326.817924,40.18,120.81,0.9265
36161.000000,43.473366,42.563787,5783.993050,-3345.100571,40.04,120.23,0.9265
36162.000000,43.473187,42.564216,5818.917927,-3363.625867,39.94,119.82,0.9265
36163.000000,43.473007,42.564645,5853.796713,-3382.403479,39.88,119.54,0.9264
36164.000000,43.472827,42.565074,5888.630769,-3401.421802,39.84,119.38,0.9264
36165.000000,43.472648,42.565503,5923.422770,-3420.662950,39.83,119.30,0.9264
36166.000000,43.472468,42.565932,5958.177305,-3440.100367,39.83,119.28,0.9264
36167.000000,43.472288,42.566361,5992.899562,-3459.704736,39.83,119.31,0.9262
36168.000000,43.472109,42.566790,6027.594959,-3479.446856,39.85,119.37,0.9261
36169.000000,43.471929,42.567219,6062.268742,-3499.298539,39.87,119.45,0.9261
36170.000000,43.471749,42.567648,6096.925659,-3519.234714,39.89,119.53,0.9261
36171.000000,43.471570,42.568077,6131.570164,-3539.232040,39.91,119.62,0.9259
36172.000000,43.471390,42.568506,6166.205819,-3559.272148,39.93,119.70,0.9258
36173.000000,43.471210,42.568935,6200.837492,-3579.329855,39.95,119.77,0.9239
36174.000000,43.471031,42.569364,6235.464653,-3599.408549,39.96,119.83,0.9239
36175.000000,43.470851,42.569793,6270.089651,-3619.496289,39.97,119.88,0.9239
